filename,beverageType,brandName,classType,alcoholContent,netContents,bottlerName,bottlerAddress,importerName,importerAddress,countryOfOrigin
01-stones-throw-bourbon.jpg,distilled_spirits,Stone's Throw,Kentucky Straight Bourbon Whiskey,45%,750 mL,Stone's Throw Distillery,"123 Main Street, Louisville, KY",,,
02-black-pine-malt.jpg,distilled_spirits,Black Pine,Single Malt Whiskey,43%,750 mL,Black Pine Spirits Co.,"44 Cedar Lane, Asheville, NC",,,
03-wildflower-vodka.jpg,distilled_spirits,Wildflower Reserve,Vodka,40%,1 L,Wildflower Distilling Co.,"210 Prairie Road, Lawrence, KS",,,
04-copperhead-tn-whiskey.jpg,distilled_spirits,Copperhead,Tennessee Whiskey,47%,750 mL,Copperhead Distillery,"5 River Bend Drive, Lynchburg, TN",,,
05-iron-crown-gin.jpg,distilled_spirits,Iron Crown,London Dry Gin,41.5%,750 mL,Iron Crown Distillers,"9 Royal Street, Portland, OR",,,
06-stones-throw-allcaps.jpg,distilled_spirits,Stone's Throw,Kentucky Straight Bourbon Whiskey,45%,750 mL,Stone's Throw Distillery,"123 Main Street, Louisville, KY",,,
07-salt-marsh-rum.jpg,distilled_spirits,Salt Marsh,Aged Rum,50%,750 mL,Salt Marsh Spirits Co.,"12 Harbor Way, Charleston, SC",,,
08-rolling-glen-bourbon.jpg,distilled_spirits,Rolling Glen,Kentucky Bourbon Whiskey,46%,750 mL,Rolling Glen Distillery,"77 Glen Road, Bardstown, KY",,,
09-old-anchor-rye.jpg,distilled_spirits,Old Anchor,Straight Rye Whiskey,50%,750 mL,Old Anchor Distillery,"401 Wharf Street, Baltimore, MD",,,
10-velvet-crow-tequila.jpg,distilled_spirits,Velvet Crow,Tequila Reposado,40%,750 mL,Velvet Crow Spirits LLC,"88 Mission Street, San Diego, CA",Velvet Crow Spirits LLC,"88 Mission Street, San Diego, CA",Mexico
11-hollow-oak-cab.jpg,wine,Hollow Oak,Cabernet Sauvignon,13.5%,750 mL,Hollow Oak Vineyards,"1450 Estate Road, Napa, CA",,,
12-cedar-hill-pinot.jpg,wine,Cedar Hill,Pinot Noir,13.0%,750 mL,Cedar Hill Winery,"302 Vine Road, Willamette Valley, OR",,,
13-riverbend-chardonnay.jpg,wine,Riverbend,Chardonnay,12.5%,750 mL,Riverbend Cellars,"55 Oak Lane, Sonoma, CA",,,
14-sunwood-sauvblanc.jpg,wine,Sunwood,Sauvignon Blanc,13.5%,750 mL,Sunwood Estate,"8 Hillside Drive, Paso Robles, CA",,,
15-hollow-oak-allcaps.jpg,wine,Hollow Oak,Cabernet Sauvignon,13.5%,750 mL,Hollow Oak Vineyards,"1450 Estate Road, Napa, CA",,,
16-glass-mountain-merlot.jpg,wine,Glass Mountain,Merlot,14.5%,750 mL,Glass Mountain Winery,"12 Summit Trail, Walla Walla, WA",,,
17-westcliff-rose.jpg,wine,Westcliff,Rosé,12.0%,750 mL,Westcliff Estate,"401 Coast Road, Mendocino, CA",,,
18-stargazer-riesling.jpg,wine,Stargazer,Riesling,11.5%,750 mL,Stargazer Vineyards,"26 Lakeview Road, Finger Lakes, NY",,,
19-north-pier-ipa.jpg,malt_beverage,North Pier,India Pale Ale,6.8%,12 fl oz,North Pier Brewing Co.,"60 Harbor Drive, Portland, ME",,,
20-tall-oak-pilsner.jpg,malt_beverage,Tall Oak,Pilsner,5.0%,12 fl oz,Tall Oak Brewing Co.,"11 Industrial Way, Madison, WI",,,
21-sundown-stout.jpg,malt_beverage,Sundown,Imperial Stout,7.2%,12 fl oz,Sundown Brewing,"300 Mill Road, Burlington, VT",,,
22-brick-mill-lager.jpg,malt_beverage,Brick Mill,Amber Lager,4.8%,12 fl oz,Brick Mill Brewery,"118 Foundry Lane, Pittsburgh, PA",,,
23-north-pier-allcaps.jpg,malt_beverage,North Pier,India Pale Ale,6.8%,12 fl oz,North Pier Brewing Co.,"60 Harbor Drive, Portland, ME",,,
24-tall-oak-wrong-abv.jpg,malt_beverage,Tall Oak,Pilsner,5.0%,12 fl oz,Tall Oak Brewing Co.,"11 Industrial Way, Madison, WI",,,
